City,Country,IATA,Latitude,Longitude
Annaba,Algeria,AAE,36.822201,7.809174
Aalborg,Denmark,AAL,57.0927589138,9.84924316406
Al Ain,United Arab Emirates,AAN,24.261699676513672,55.60919952392578
Anapa,Russian Federation,AAQ,45.002101898193,37.347301483154
Aarhus,Denmark,AAR,56.2999992371,10.619000434899998
Altay,China,AAT,47.7498855591,88.08580780030002
Araxa,Brazil,AAX,-19.563199996948,-46.960399627686
Al Ghaidah Intl,Yemen,AAY,16.191699981689453,52.17499923706055
Abakan,Russian Federation,ABA,53.7400016784668,91.38500213623047
Asaba,Nigeria,ABB,6.204167,6.665278
Abadan,Iran,ABD,30.371099472,48.2282981873
Allentown,United States,ABE,40.652099609375,-75.44080352783203
Abilene,United States,ABI,32.4113006592,-99.68190002440001
Abidjan,Cote d'Ivoire,ABJ,5.261390209197998,-3.9262900352478027
Ambler,United States,ABL,67.1063,-157.856989
Amberley,Australia,ABM,-10.9508,142.459
Albuquerque,United States,ABQ,35.040199,-106.609001
Aberdeen,United States,ABR,45.449100494384766,-98.42179870605469
Abu Simbel,Egypt,ABS,22.375999450699997,31.611700058
El-baha,Saudi Arabia,ABT,20.2961006165,41.6343002319
Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412
Albury,Australia,ABX,-36.06779861450195,146.95799255371094
Albany,United States,ABY,31.535499572753906,-84.19450378417969
Aberdeen,United Kingdom,ABZ,57.201900482177734,-2.197779893875122
Acapulco,Mexico,ACA,16.757099151611328,-99.75399780273438
Accra,Ghana,ACC,5.605189800262451,-0.16678600013256073
Arrecife,Spain,ACE,28.945499,-13.6052
Altenrhein,Switzerland,ACH,47.4850006104,9.560770034789998
Alderney,Guernsey,ACI,49.706104,-2.21472
Nantucket,United States,ACK,41.25310135,-70.06020355
Araracuara,Colombia,ACR,-0.5833,-72.4083
Waco,United States,ACT,31.611299514770508,-97.23049926757812
Arcata CA,United States,ACV,40.978101,-124.109
Xingyi,China,ACX,25.0863888889,104.959444444
Atlantic City,United States,ACY,39.45759963989258,-74.57720184326172
Zabol,Iran,ACZ,31.09830093383789,61.54389953613281
Adana,Turkey,ADA,36.9822006226,35.280399322499996
Izmir,Turkey,ADB,38.2924003601,27.156999588
Addis Ababa,Ethiopia,ADD,8.97789001465,38.799301147499996
Aden,Yemen,ADE,12.829500198364258,45.02880096435547
Adiyaman,Turkey,ADF,37.7313995361,38.4688987732
Adak Island,United States,ADK,51.87799835205078,-176.64599609375
Adelaide,Australia,ADL,-34.945,138.531006
Kodiak,United States,ADQ,57.75,-152.4940033
Ardabil,Iran,ADU,38.3256988525,48.4244003296
San Andres Island,Colombia,ADZ,12.5836,-81.7112
Baise,China,AEB,23.7206001282,106.959999084
Buenos Aires,Argentina,AEP,-34.5592,-58.4156
Sochi,Russian Federation,AER,43.449902,39.9566
Alesund,Norway,AES,62.5625,6.119699954986572
Allakaket,United States,AET,66.5518035889,-152.621994019
Alexandria,United States,AEX,31.32740020751953,-92.54979705810547
Akureyri,Iceland,AEY,65.66000366210938,-18.07270050048828
San Rafael,Argentina,AFA,-34.588299,-68.4039
Alta Floresta,Brazil,AFL,-9.8663892746,-56.1049995422
Sabzevar,Iran,AFZ,36.16809844970703,57.59519958496094
Agadir,Morocco,AGA,30.325000762939453,-9.413069725036621
Augsburg,Germany,AGB,48.425278,10.931667
Agen,France,AGF,44.17470169067383,0.5905560255050659
Ängelholm,Sweden,AGH,56.29610061645508,12.847100257873535
Malaga,Spain,AGP,36.67490005493164,-4.499110221862793
Agra,India,AGR,27.155799865722656,77.96089935302734
Bush Field,United States,AGS,33.36989974975586,-81.9645004272461
Ciudad del Este,Paraguay,AGT,-25.454516,-54.842682
Aguascalientes,Mexico,AGU,21.705601,-102.318001
Agatti Island,India,AGX,10.823699951171875,72.1760025024414
Abha,Saudi Arabia,AHB,18.240400314299997,42.65660095210001
Ahe,French Polynesia,AHE,-14.428099632263184,-146.2570037841797
Athens,United States,AHN,33.94860076904297,-83.32630157470703
Alghero,Italy,AHO,40.632099,8.29077
Al Hociema,Morocco,AHU,35.177101135253906,-3.83951997756958
Alliance,United States,AIA,42.0531997681,-102.804000854
Wainwright,United States,AIN,70.6380004883,-159.994995117
Aitutaki,Cook Islands,AIT,-18.830900192260742,-159.76400756835938
Atiu Island,Cook Islands,AIU,-19.96780014038086,-158.11900329589844
Ajaccio,France,AJA,41.92359924316406,8.8029203414917
Al-Jawf,Saudi Arabia,AJF,29.78510093688965,40.099998474121094
Agri,Turkey,AJI,39.654541015625,43.025978088378906
Aizwal,India,AJL,23.840599060099997,92.6196975708
Arvidsjaur,Sweden,AJR,65.59030151367188,19.28190040588379
Aracaju,Brazil,AJU,-10.984000206,-37.0703010559
Atka,United States,AKB,52.22029877,-174.2059937
Kufra,Libya,AKF,24.178699493408203,23.31399917602539
Asahikawa,Japan,AKJ,43.670799255371094,142.44700622558594
Akhiok,United States,AKK,56.9387016296,-154.182998657
Auckland,New Zealand,AKL,-37.008098602299995,174.792007446
King Salmon,United States,AKN,58.67679977,-156.6490021
Anaktuvuk Pass,United States,AKP,68.13359833,-151.7429962
Aksu,China,AKU,41.262501,80.291702
Akulivik,Canada,AKV,60.818599700927734,-78.14859771728516
Aktyubinsk,Kazakhstan,AKX,50.2458,57.206699
Sittwe,Burma,AKY,20.132699966430664,92.87259674072266
Alma-ata,Kazakhstan,ALA,43.35210037231445,77.04049682617188
Albany,United States,ALB,42.74829864501953,-73.80169677734375
Alicante,Spain,ALC,38.28219985961914,-0.5581560134887695
Alta,Norway,ALF,69.976097106934,23.371700286865
Algier,Algeria,ALG,36.691001892089844,3.215409994125366
Albany,Australia,ALH,-34.94329833984375,117.80899810791016
Waterloo,United States,ALO,42.557098388671875,-92.40029907226562
Alamosa,United States,ALS,37.434898,-105.866997
Walla Walla,United States,ALW,46.09489822,-118.288002
Amarillo,United States,AMA,35.219398,-101.706001
Ahmedabad,India,AMD,23.0771999359,72.63469696039999
Arba Minch,Ethiopia,AMH,6.0393900871276855,37.59049987792969
Amman,Jordan,AMM,31.7226009369,35.9931983948
Ambon,Indonesia,AMQ,-3.7102599144,128.089004517
Amsterdam,Netherlands,AMS,52.308601,4.76389
Anchorage,United States,ANC,61.174400329589844,-149.99600219726562
Antofagasta,Chile,ANF,-23.444501,-70.445099
Angouleme,France,ANG,45.72919845581055,0.22145600616931915
Aniak,United States,ANI,61.581600189208984,-159.54299926757812
Antalaha,Madagascar,ANM,-14.99940013885498,50.3202018737793
Antwerp,Belgium,ANR,51.1893997192,4.46027994156
Andahuaylas,Peru,ANS,-13.706399917602539,-73.35040283203125
Antigua,Antigua and Barbuda,ANU,17.1367,-61.792702
Anvik,United States,ANV,62.646702,-160.190994
Andoya,Norway,ANX,69.292503356934,16.144199371338
Eskissehir,Turkey,AOE,39.809898,30.5194
Anshan,China,AOG,41.105301,122.853996
Ancona,Italy,AOI,43.616299,13.3623
Aomori,Japan,AOJ,40.73469924926758,140.6909942626953
Karpathos,Greece,AOK,35.4213981628418,27.145999908447266
Altoona,United States,AOO,40.29639816,-78.31999969
Alor Setar,Malaysia,AOR,6.189670085906982,100.39800262451172
Naples,United States,APF,26.1525993347,-81.7752990723
Nampula,Mozambique,APL,-15.105600357055664,39.28179931640625
Alpena,United States,APN,45.0780983,-83.56030273
Carepa,Colombia,APO,7.81196,-76.7164
Faleolo,Samoa,APW,-13.829999923706055,-172.00799560546875
Araracuara,Brazil,AQA,-21.812000274699997,-48.1329994202
Anqing,China,AQG,30.582199,117.050003
Hafr Al-batin,Saudi Arabia,AQI,28.335199,46.125099
Aqaba,Jordan,AQJ,29.611600875854492,35.01810073852539
Arequipa,Peru,AQP,-16.3411006927,-71.5830993652
Arctic Village,United States,ARC,68.1147,-145.578995
Arkhangelsk,Russian Federation,ARH,64.60030364990234,40.71670150756836
Arica,Chile,ARI,-18.348499,-70.338699
Arusha,Tanzania,ARK,-3.3677899837493896,36.63330078125
Armidale,Australia,ARM,-30.528099060099997,151.617004395
Stockholm,Sweden,ARN,59.651901245117,17.918600082397
Watertown,United States,ART,43.99190139770508,-76.02169799804688
Aracatuba,Brazil,ARU,-21.1413002014,-50.4247016907
Arad,Romania,ARW,46.17660140991211,21.261999130249023
Ashkhabad,Turkmenistan,ASB,37.986801,58.361
Aspen,United States,ASE,39.22320175,-106.8690033
Astrakhan,Russian Federation,ASF,46.2832984924,48.0063018799
Amami,Japan,ASJ,28.430599212646484,129.71299743652344
Asmara,Eritrea,ASM,15.291899681091309,38.910701751708984
Asosa,Ethiopia,ASO,10.018500328063965,34.586299896240234
Alice Springs,Australia,ASP,-23.806699752807617,133.90199279785156
Kayseri,Turkey,ASR,38.770401001,35.4953994751
Asuncion,Paraguay,ASU,-25.239999771118164,-57.52000045776367
Amboseli National Park,Kenya,ASV,-2.645050048828125,37.25310134887695
Aswan,Egypt,ASW,23.9643993378,32.8199996948
Anta,Peru,ATA,-9.347439765930176,-77.59839630126953
Arthur's Town,Bahamas,ATC,24.6294,-75.673797
Atoifi,Solomon Islands,ATD,-8.87333,161.011002
Athens,Greece,ATH,37.9364013672,23.9444999695
Atqasuk,United States,ATK,70.46730041503906,-157.43600463867188
Atlanta,United States,ATL,33.6367,-84.428101
Altamira,Brazil,ATM,-3.2539100646973,-52.254001617432
Amritsar,India,ATQ,31.7096004486,74.7973022461
Appleton,United States,ATW,44.258098602299995,-88.5190963745
Watertown,United States,ATY,44.91400146,-97.15470123
Asyut,Egypt,ATZ,27.0464992523,31.0119991302
Oranjestad,Aruba,AUA,12.5014,-70.015198
Arauca,Colombia,AUC,7.06888,-70.7369
Augusta,United States,AUG,44.320598602299995,-69.7973022461
Abu Dhabi,United Arab Emirates,AUH,24.433000564575195,54.651100158691406
Alakanuk,United States,AUK,62.680042266799994,-164.659927368
Hiva-oa,French Polynesia,AUQ,-9.76879024506,-139.011001587
Aurillac,France,AUR,44.89139938354492,2.4219400882720947
Austin,United States,AUS,30.194499969482422,-97.6698989868164
Aurukun,Australia,AUU,-13.354067,141.72065
Araguaina,Brazil,AUX,-7.22787,-48.240501
Anelghowhat,Vanuatu,AUY,-20.2492008209,169.770996094
Anshun,China,AVA,26.2605555556,105.873333333
Asheville,United States,AVL,35.43619918823242,-82.54180145263672
Avignon,France,AVN,43.90729904174805,4.901830196380615
Scranton,United States,AVP,41.338500976599995,-75.72339630130001
Avalon,Australia,AVV,-38.039398,144.468994
Aniwa,Vanuatu,AWD,-19.2346,169.6009
Ahwaz,Iran,AWZ,31.337400436399996,48.7620010376
The Valley,Anguilla,AXA,18.2048,-63.055099
Alexandroupolis,Greece,AXD,40.855899810791016,25.956300735473633
Ataq,Yemen,AXK,14.551300048828125,46.82619857788086
Armenia,Colombia,AXM,4.45278,-75.7664
Spring Point,Bahamas,AXP,22.441799163800003,-73.97090148930002
Arutua,French Polynesia,AXR,-15.248299598693848,-146.61700439453125
Akita,Japan,AXT,39.6156005859375,140.218994140625
Axum,Ethiopia,AXU,14.14680004119873,38.77280044555664
Ayacucho,Peru,AYP,-13.154800415039062,-74.20439910888672
Uluru,Australia,AYQ,-25.1861,130.975998
Antalya,Turkey,AYT,36.898701,30.800501
Mesa,United States,AZA,33.30780029,-111.6549988
Yazd,Iran,AZD,31.9048995972,54.2765007019
Abu Dhabi,United Arab Emirates,AZI,24.428300857543945,54.458099365234375
Andizhan,Uzbekistan,AZN,40.7276992798,72.2939987183
Kalamazoo,United States,AZO,42.234901428222656,-85.5521011352539
Adrar,Algeria,AZR,27.837600708007812,-0.18641400337219238
Samana,Dominican Republic,AZS,19.2670001984,-69.7419967651
Bahrain,Bahrain,BAH,26.27079963684082,50.63359832763672
Batman,Turkey,BAL,37.929000854499996,41.1166000366
Barranquilla,Colombia,BAQ,10.8896,-74.7808
Baotou,China,BAV,40.560001373291016,109.99700164794922
Barnaul,Russian Federation,BAX,53.363800048828125,83.53849792480469
Baia Mare,Romania,BAY,47.65840148925781,23.469999313354492
Barcelos,Brazil,BAZ,-0.981292,-62.919601
Balmaceda,Chile,BBA,-45.916099548339844,-71.68949890136719
Bhubaneswar,India,BBI,20.244400024399997,85.8178024292
Kasane,Botswana,BBK,-17.83289909362793,25.162399291992188
Bario,Malaysia,BBN,3.7338900566101074,115.47899627685547
Berbera,Somalia,BBO,10.389200210571289,44.94110107421875
Bacolod,Philippines,BCD,10.7764,123.014999
Barcaldine,Australia,BCI,-23.5652999878,145.307006836
Barcelona,Spain,BCN,41.2971,2.07846
Bermuda,Bermuda,BDA,32.36399841308594,-64.67870330810547
Bundaberg,Australia,BDB,-24.903900146499996,152.319000244
Bandar Lengeh,Iran,BDH,26.531999588,54.824798584
Banjarmasin,Indonesia,BDJ,-3.4423599243164062,114.76300048828125
Windsor Locks,United States,BDL,41.9388999939,-72.68319702149999
Bandung,Indonesia,BDO,-6.900629997253418,107.57599639892578
Chandragarhi,Nepal,BDP,26.5708007812,88.07959747310001
Baroda,India,BDQ,22.336201,73.226303
Brindisi,Italy,BDS,40.6576,17.947001
Bardufoss,Norway,BDU,69.055801391602,18.540399551392
Benbecula,United Kingdom,BEB,57.48109817504883,-7.3627800941467285
Belgrade,Serbia,BEG,44.8184013367,20.3090991974
Tanjung Redep-Borneo Island,Indonesia,BEJ,2.1555,117.431999
Belem,Brazil,BEL,-1.3792500495900002,-48.4762992859
Benghazi,Libya,BEN,32.096801757799994,20.2695007324
Brest,France,BES,48.447898864746094,-4.418540000915527
Bethel,United States,BET,60.77980042,-161.8379974
Bedourie,Australia,BEU,-24.346099853515625,139.4600067138672
Beira,Mozambique,BEW,-19.79640007019043,34.90760040283203
Beirut,Lebanon,BEY,33.820899963378906,35.488399505615234
Bradford,United States,BFD,41.8031005859375,-78.64009857177734
Scottsbluff,United States,BFF,41.87400055,-103.5960007
Seattle,United States,BFI,47.529998779296875,-122.302001953125
Bijie,China,BFJ,27.267066,105.472097
Bakersfield,United States,BFL,35.43360138,-119.0569992
Bloemfontein,South Africa,BFN,-29.092699050900002,26.302400589
Belfast,United Kingdom,BFS,54.6575012207,-6.2158298492399995
Buri Ram,Thailand,BFV,15.229499816894531,103.25299835205078
Bucaramanga,Colombia,BGA,7.1265,-73.1848
Bangui,Central African Republic,BGF,4.39847993850708,18.518800735473633
Bingol,Turkey,BGG,38.8592605591,40.5959625244
Bridgetown,Barbados,BGI,13.0746002197,-59.4925003052
Binghamton,United States,BGM,42.20869827,-75.97979736
Bergen,Norway,BGO,60.29339981,5.218140125
Bangor,United States,BGR,44.80739974975586,-68.8281021118164
Baghdad,Iraq,BGW,33.262500762900004,44.2346000671
Bergamo,Italy,BGY,45.673901,9.70417
Bar Harbor,United States,BHB,44.45000076,-68.3615036
Belfast,United Kingdom,BHD,54.618099212646484,-5.872499942779541
Woodbourne,New Zealand,BHE,-41.5182991027832,173.8699951171875
Bisha,Saudi Arabia,BHH,19.984399795532227,42.62089920043945
Bahia Blanca,Argentina,BHI,-38.725,-62.1693
Bhuj,India,BHJ,23.2877998352,69.6701965332
Bukhara,Uzbekistan,BHK,39.775001525878906,64.4832992553711
Birmingham,United States,BHM,33.56290054,-86.75350189
Bhopal,India,BHO,23.2875003815,77.3374023438
Broken Hill,Australia,BHQ,-32.0013999939,141.472000122
Bharatpur,Nepal,BHR,27.678101,84.429398
Bathurst,Australia,BHS,-33.4094009399,149.651992798
Bhaunagar,India,BHU,21.752199173,72.1852035522
Bahawalpur,Pakistan,BHV,29.348100662231445,71.71800231933594
Birmingham,United Kingdom,BHX,52.453899383499994,-1.74802994728
Beihai,China,BHY,21.5394,109.293999
Bastia,France,BIA,42.55270004272461,9.48373031616211
Biak,Indonesia,BIK,-1.190019965171814,136.10800170898438
Billings,United States,BIL,45.807701110839844,-108.54299926757812
Alice Town,Bahamas,BIM,25.6998996735,-79.2647018433
Bilbao,Spain,BIO,43.30110168457031,-2.9106099605560303
Biarritz-bayonne,France,BIQ,43.4683333,-1.5311111
Biratnagar,Nepal,BIR,26.48150062561035,87.26399993896484
Bismarck,United States,BIS,46.772701263427734,-100.74600219726562
Bejaja,Algeria,BJA,36.7120018005,5.0699200630200005
Bojnourd,Iran,BJB,37.49300003051758,57.30820083618164
Batsfjord,Norway,BJF,70.60050201416,29.691400527954
Bemidji,United States,BJI,47.50939941,-94.93370056
Banjul,Gambia,BJL,13.338000297546387,-16.65220069885254
Bujumbura,Burundi,BJM,-3.3240199089050293,29.318500518798828
Bahar Dar,Ethiopia,BJR,11.608099937438965,37.32160186767578
Bodrum,Turkey,BJV,37.25059890749999,27.6643009186
Del Bajio,Mexico,BJX,20.9935,-101.481003
Badajoz,Spain,BJZ,38.891300201416016,-6.8213300704956055
